Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.17894564,66.47338104,66.75588148,67.01940699,67.25691757,67.46137325,67.62573402,67.74295991,67.80601093,67.80128407,67.71570473,67.54899146,67.31897193,67.04030821,66.72766235,66.39569643,66.05907249,65.73245261,65.43049885,65.16787326,64.95923792,64.82281238,64.7396212,64.66635375,64.59726336,64.53342106,64.47589787,64.42576479,64.38409284,64.35195304,64.3304164,64.32074491,64.32683795,64.35840611,64.41429342,64.49296234,64.59287533,64.71249486,64.85028338,65.00470336,65.17421725,65.35728753,65.56244629,65.6956882,65.81136714
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.68383515,64.75948064,65.88018261,67.04040901,68.23378123,69.45392065,70.69444866,71.94898665,73.21115598,74.47457806,75.75476136,77.18864313,78.82002333,80.55352411,82.30636858,83.99577989,85.53898117,86.85319555,87.85564616,88.46355614,88.60758093,88.55343306,88.43300933,88.2572251,88.03614553,87.77983577,87.49836099,87.20178634,86.90017697,86.60359804,86.31906735,86.02849917,85.71611743,85.38464652,85.0351448,84.66867065,84.28628244,83.88903854,83.47799733,83.05421718,82.62407806,82.21270915,81.7947977,81.37215427,80.9446987
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.53911902,34.66906905,34.79748275,34.92203182,35.04038795,35.15022285,35.24920822,35.33501575,35.40531713,35.45778409,35.4900883,35.49926689,35.42649423,35.241819,34.96225184,34.60458718,34.18561949,33.7221432,33.23095275,32.72884261,32.2326072,31.75543482,31.22803749,30.60037434,29.90556672,29.17379957,28.43525787,27.72012658,27.05859066,26.48083508,26.01704479,25.69468986,25.45556186,25.24756677,25.08997261,25,24.92398075,24.85002638,24.77814321,24.70833752,24.64061563,24.57498382,24.5114484,24.45001567,24.39069193
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.77708937,85.70721802,85.6300576,85.53722002,85.44756645,85.3799543,85.35324097,85.35812013,85.36974392,85.38360416,85.39519265,85.40000075,85.39075975,85.36607634,85.33007277,85.28687105,85.24059321,85.19536125,85.15529719,85.12452306,85.10716086,85.14810942,85.28421028,85.40970778,85.51876761,85.61908712,85.74925443,85.89685196,86.0253817,86.12781391,86.21986005,86.32689461,86.44512591,86.57405158,86.72212893,86.87786425,87.01662952,87.12809266,87.22676808,87.30196479,87.27134705,87.23534076,87.33432683,87.48669557,87.602147
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.67466376,55.14668478,55.79736376,56.68500217,57.74116882,58.90324924,60.10862898,61.29469359,62.39882862,63.35841961,64.11085212,64.60095891,64.94999293,65.28050595,65.58547366,65.86293526,66.11092996,66.32749697,66.51067549,66.65850473,66.7690239,66.84081613,66.88874571,66.9263575,66.95586129,66.97979507,67.00069681,67.02110449,67.04355608,67.07058957,67.10474293,67.14842554,67.20859098,67.29813088,67.41543276,67.55761755,67.72180619,67.90511961,68.10467872,68.31760448,68.54101779,68.7736017,68.99808513,69.22653583,69.46581811
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.15315247,53.19281769,53.18831253,53.1502533,53.1190033,53.22088623,53.4095459,53.51693726,53.73267746,54.12393235,53.69606781,53.24146652,52.91854858,52.69920349,52.50111771,52.31167603,52.12160492,51.92707825,51.46720505,50.99825115,51.13208389,51.1584816,51.2144165,51.72579956,52.28319931,52.50285339,52.65401459,52.82815552,53.0633049,53.13581254,53.28483677,53.50854619,53.80764423,54.18210874,54.63191759,55.15704863,55.75747972,56.43318871,57.18415347,58.1308192,58.29346918,58.36599697,58.43828159,58.50753505,58.57379584
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,4.343437479,4.514090259,4.692336278,4.877133878,5.067441401,5.262217188,5.46041958,5.661006919,5.862937545,6.065169801,6.266887514,6.4628142,6.648805386,6.826849174,6.999245395,7.168293884,7.336294474,7.505546997,7.678351287,7.857007176,8.043814498,8.241073087,8.451082774,8.676143394,8.918554779,9.180616762,9.464629178,9.772891857,10.10643534,10.49799004,10.98430973,11.56166522,12.22445968,12.96709627,13.78397817,14.66950855,15.61809056,16.62412739,17.6820222,18.78617815,19.93099843,21.11088619,22.3202446,23.55347684,24.83028387
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.72142369,75.11798671,75.51196861,75.90324043,76.29167321,76.67713798,77.05950577,77.43864763,77.81443458,78.18673766,78.5554279,78.92037634,79.28145402,79.63853196,79.99148121,80.3401728,80.68447776,81.02426713,81.35941194,81.68978324,82.01525204,82.33568939,82.65096633,82.96095388,83.26552308,83.56454497,83.85789059,84.14543096,84.42703712,84.70258011,84.97193096,85.2349607,85.49154038,85.74154102,85.98483367,86.22128935,86.4507791,86.67317395,86.88834495,87.09616312,87.2964995,87.43055641,87.48920027,87.55149264,87.6126557
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.30203712,28.11920676,28.94340695,29.7665357,30.58049103,31.37717095,32.14847348,32.88629664,33.58253845,34.22909692,34.81787007,35.34075592,35.78976184,36.18194123,36.52732542,36.83851369,37.12677563,37.40338081,37.67959883,37.96669928,38.27595173,38.61862577,39.00350699,39.4169696,39.85256991,40.3097749,40.78777941,41.28577826,41.80296627,42.33853829,42.89168912,43.46161361,44.04750658,44.65028837,45.28805292,45.94074033,46.6094559,47.29427749,47.99528293,48.71255006,49.44615672,50.19618076,50.9627,51.7457923,52.54553548
Burkina Faso,BFA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,8.417012741,9.060595316,9.716013276,10.35434827,10.94668196,11.45814732,11.88931332,12.26558834,12.60881073,12.92860742,13.23460535,13.53643146,13.8437127,14.166076,14.51314831,14.89455657,15.3191448,15.81412839,16.44309374,17.18341712,18.00035033,18.85914521,19.72505358,20.56332726,21.33921808,22.01797784,22.55283069,22.97417608,23.36337478,23.74523256,24.1150925,24.46829768,24.80019121,25.10611615,25.3814156,25.62143265,25.82151037,25.97699187,26.08322022,26.11872544,26.35783736,26.81143077,27.27913697,27.78724784,28.33525149
